3.15E-01,5.25E-02,1.33E-03,7.83E-04,1.50E-02,1.94E-03,6.14E-01,2.72E-05
2.97E-01,4.42E-02,1.20E-03,7.92E-04,1.82E-02,2.16E-03,6.36E-01,1.06E-05
2.86E-01,3.69E-02,6.63E-04,4.08E-04,1.18E-02,1.73E-03,6.62E-01,1.06E-05
2.90E-01,3.81E-02,8.15E-04,5.79E-04,1.36E-02,2.80E-03,6.54E-01,1.61E-05
2.83E-01,4.88E-02,2.06E-03,1.12E-03,1.18E-02,9.05E-03,6.44E-01,5.35E-05
2.42E-01,5.72E-02,5.50E-03,3.26E-03,1.72E-02,1.52E-02,6.60E-01,4.52E-05
2.41E-01,5.41E-02,3.85E-03,2.23E-03,1.29E-02,1.24E-02,6.73E-01,5.59E-05
3.02E-01,2.85E-02,2.45E-03,1.31E-03,1.17E-02,9.35E-03,6.45E-01,6.27E-05
2.80E-01,5.63E-02,2.68E-03,1.46E-03,1.44E-02,8.17E-03,6.37E-01,6.40E-05
3.11E-01,4.51E-02,1.49E-03,1.01E-03,1.30E-02,2.82E-03,6.25E-01,1.15E-05
2.80E-01,5.63E-02,2.68E-03,1.46E-03,1.44E-02,8.17E-03,6.37E-01,6.40E-05
3.11E-01,4.51E-02,1.49E-03,1.01E-03,1.30E-02,2.82E-03,6.25E-01,1.15E-05
